scene,PSNR,SSIM,SAM,ERGAS,RMSE,UIQI,SCC
lat31.5_lon37.0_20240823_T37RCQ_t146,26.527425,0.608636,1.467754,1.359538,0.047166,0.310208,0.740433
lat32.0_lon-113.0_20251129_T12SUA_t088,27.769444,0.644842,1.339075,2.261116,0.040882,0.261848,0.804393
lat32.0_lon-113.0_20251129_T12SUA_t119,28.487907,0.693342,1.413190,1.693426,0.037636,0.347683,0.943478
lat32.0_lon-113.0_20251129_T12SUA_t133,25.625572,0.447203,0.964087,1.992333,0.052326,0.201365,0.734052
lat32.0_lon-113.0_20251129_T12SUA_t140,25.965320,0.571804,1.267598,2.541609,0.050319,0.333418,0.861191
lat32.0_lon-113.0_20251129_T12SUA_t163,26.187377,0.514829,1.109452,1.549737,0.049049,0.212709,0.826578
lat32.0_lon35.8_20240803_T37SBR_t031,28.011617,0.609339,1.088039,1.806608,0.039758,0.280387,0.790061
lat32.0_lon35.8_20240803_T37SBR_t043,33.013641,0.769859,1.420912,1.371518,0.022352,0.283079,0.766619
lat32.0_lon35.8_20240803_T37SBR_t045,29.129387,0.696389,1.373243,1.212995,0.034957,0.244298,0.767962
lat32.0_lon35.8_20240803_T37SBR_t057,27.707676,0.529351,1.302683,1.659980,0.041173,0.231982,0.618194
lat32.0_lon35.8_20240803_T37SBR_t095,28.142107,0.598739,1.558150,1.543217,0.039165,0.255772,0.750814
lat32.0_lon35.8_20240803_T37SBR_t130,29.166461,0.606667,1.367124,1.549816,0.034808,0.248629,0.836417
lat32.0_lon35.8_20240803_T37SBR_t131,29.755774,0.671987,1.189793,1.354111,0.032525,0.253545,0.801635
lat32.0_lon35.8_20240803_T37SBR_t133,30.072409,0.679462,1.526701,1.642540,0.031360,0.294146,0.805630
lat32.0_lon58.5_20231204_T40SFA_t062,26.909810,0.607557,1.500715,1.911460,0.045135,0.252185,0.717931
lat32.0_lon58.5_20231204_T40SFA_t155,29.012021,0.722904,0.915653,1.557293,0.035432,0.367905,0.806926
lat32.0_lon58.5_20231204_T40SFA_t191,31.181909,0.860925,0.323609,1.078665,0.027600,0.347308,0.800038
lat32.5_lon-106.5_20231204_T13SCR_t109,29.113199,0.664952,0.813943,1.210250,0.035022,0.280321,0.841342
lat32.5_lon44.5_20250801_T38SMB_t102,28.923901,0.637641,3.084355,2.161642,0.035794,0.257067,0.756004
lat32.5_lon44.5_20250801_T38SMB_t155,31.434752,0.701462,1.444799,0.834952,0.026808,0.223493,0.705258
lat33.0_lon-115.5_20260130_T11SPS_t080,28.244488,0.622076,1.741949,2.087255,0.038706,0.227755,0.774219
lat33.0_lon-115.5_20260130_T11SPS_t081,30.953231,0.731841,1.888226,2.393416,0.028336,0.263711,0.735339
lat33.0_lon-115.5_20260130_T11SPS_t127,30.871650,0.670422,0.709713,0.883180,0.028603,0.261367,0.746194
lat33.0_lon-115.5_20260130_T11SPS_t147,28.593728,0.647092,0.626486,1.297723,0.037180,0.299245,0.852568
